id;kolor;nazwa;opis;wymagania;komentarz
1;czerwony;Baranek Wielkanocny;Baranek Wielkanocny to zuch, który rozumie sens Świąt Zmartwychwstania Pańskiego i pielęgnuje zwyczaje wielkanocne. ;"1. Realizuje postanowienie wielkopostne, które jest dla niego wyrzeczeniem.
2. Wziął udział w nabożeństwie wielkopostnym i wielkanocnym.
3. Zna tradycje świąteczne. Stara się zachowywać je w swoim domu.
4. Uczestniczył w rekolekcjach wielkopostnych i potrafił się podczas nich odpowiednio zachować.
5. Pomógł w domu w przygotowaniach świątecznych. ";W sprawności należy wykazać szczególną wrażliwość na warunki, w jakich zuch jest wychowywany i świadomość religijną jego bliskich oraz na odpowiednie dopasowanie zadań związanych z tradycjami świątecznymi do możliwości wykonania ich przez dziecko w domu. Warto też zwracać uwagę na to, że piątek jest przez cały rok dniem tygodnia, w którym nie urządzamy dyskotek, nie tańczymy.
2;czerwony;Braciszek;Braciszek to zuch, który potrafi zaopiekować się młodszymi, zorganizować im czas i nauczyć czegoś nowego. ;"1. Opiekuje się młodszymi zuchami w gromadzie.
2. Sam lub z innymi zuchami w mądry sposób zorganizował zabawę.
3. Bawi się z młodszym rodzeństwem lub małymi dziećmi.
4. Nauczył młodszego kolegę nowej umiejętności.
5. Po kłótni potrafi pierwszy wyciągnąć rękę do zgody i przebaczyć.";
3;czerwony;Dobry Duszek;Dobry Duszek to zuch, który pomaga innym i niezauważenie czyni dobro;"1. Jak dobry duszek pomaga ludziom w potrzebie, bez przechwalania się, nie czekając na nagrodę.
2. Sprawił komuś miłą niespodziankę. 
3. W wybrany przez siebie sposób przedstawił opowieść o dobroci.
4. Dostrzega nastroje innych i potrafi na nie reagować (pocieszy, poprawi humor itp.).";"W sprawności warto zwrócić uwagę na kształtowanie u zuchów empatii – współodczuwania nastrojów innych.
Trzeba uczyć dzieci obserwowania wpływu zachowań własnych na nastrój innych – np. by starały się powstrzymać od słów, które miałyby wzbudzić zazdrość, smutek. "
4;czerwony;Liturgista;Liturgista to zuch, który rozumie, co dzieje się w poszczególnych momentach Mszy świętej, zna jej części oraz czynnie włącza się w przygotowanie oprawy Eucharystii. ;"1. Wraz z gromadą uczestniczył we Mszy świętej, podczas której podjął się konkretnego działania.
2. Wie, że są różne kolory szat liturgicznych. 
3. Zna części Mszy świętej.
4. Wziął udział w nabożeństwie odpowiednim dla danej pory roku liturgicznego.
5. Zebrał informacje o nieznanym sobie dotąd święcie religijnym. ";"Sprawność ta ma uwrażliwić zucha na pełne oraz świadome uczestnictwo we Mszy świętej (w całej liturgii i przystępowaniu do Komunii św.)
Ad 1: Zuchy powinny włączać się w przygotowanie liturgii właśnie po to, by rozumieć, czym jest Msza św., np. przeczytać czytanie lub modlitwę wiernych, zaśpiewać psalm- uczestniczyć w procesji z darami."
5;czerwony;Mały Ewangelista;Mały Ewangelista to zuch, który wie, czym jest Pismo Święte, potrafi z niego korzystać i stara się je poznawać.;"1. Wie, z jakich część składa się Pismo Święte, ile w Nowym Testamencie jest Ewangelii i czyjego są autorstwa.
2. Potrafi odnaleźć fragment Pisma św., odczytując skrócony zapis.
3. Przedstawi wybraną przypowieść lub historię biblijną.
4. Zaproponował i poprowadził w gromadzie modlitwę, piosenkę/grę o tematyce religijnej. ";
6;czerwony;Mały Misjonarz;Mały Misjonarz to zuch, który wie, w jakim celu są organizowane misje i jak funkcjonują- stara się je wspierać - materialnie lub modlitwą. ;"1. Wie, gdzie pracują misjonarze i na czym polega ich działalność.
2. Zapoznał się z informacjami dotyczącymi misji.
3. Sam lub z gromadą nawiązał i utrzymuje kontakt z misjonarzem.
4. Modli się w intencji misji. 
5. Wraz z gromadą, kolegami podjął działanie w celu materialnego wsparcia misji. ";"Ad 1 W sprawności zwrócić należy uwagę na tradycyjne misje i misje związane z problemami XXI wieku (np. brak powołań kapłańskich i zakonnych w krajach takich jak Holandia). Warto uzmysłowić zuchom, że misje to nie tylko powszechnie pojmowana działalność w krajach afrykańskich.
Ad 2 Warto poszukać informacji o misji w mediach różnego typu, ale także, w miarę możliwości, odwiedzić wystawy misyjne i muzea."
7;czerwony;Pastuszek Betlejemski;Pastuszek Betlejemski to zuch, który rozumie sens świąt Bożego Narodzenia, pielęgnuje związane z nimi tradycje. ;"1. Wie, kiedy zaczyna się adwent. Uczestniczył w roratach.
2. Realizuje postanowienie adwentowe w prezencie dla Pana Jezusa.
3. W dowolny sposób przedstawił historię narodzenia Jezusa.
4. Zna kolędy, potrafi zaśpiewać kilka z nich. 
5. Zna tradycje świąteczne. Stara się zachowywać je w swoim domu.
6. Pomagał w domu podczas przygotowań świątecznych.
7. Wykonał prezent dla bliskiej osoby, wysłał życzenia świąteczne. ";"W sprawności należy wykazać szczególną wrażliwość na warunki, w jakich zuch jest wychowywany i świadomość religijną jego bliskich oraz na odpowiednie
dopasowanie zadań związanych z tradycjami świątecznymi do możliwości wykonania ich przez dziecko w domu.
Ad 5 Realizowanie zadanie będzie szczególnie mocno zależało od sytuacji domowej zucha. Zachowanie tradycji to np. troska, by pod obrusem znalazło się
sianko, pozostawienie wolnego miejsca przy stole – słowem to, na co zuch może mieć wpływ, jeśli o tym przypomni w domu (będzie wtedy chętny do
wykonania zadania). "
8;czerwony;Pomocna Dłoń;Pomocna Dłoń to zuch, który potrafi dostrzegać potrzeby innych i spontanicznie na nie reaguje ;"1. Wie, kim jest wolontariusz, zna kilka organizacji, które w Polsce pomagają potrzebującym.
2. Pomaga koledze z klasy lub gromady (np. w nauce).
3. Dzieli się z innymi dziećmi swoimi rzeczami. 
4. Zaoszczędził pieniądze i przekazał je na cele charytatywne.
5. Za zgodą rodziców oddał swoją zabawkę, ubranie itp. komuś innemu. ";"Ad 1 Należy pamiętać, by wybrane do współpracy organizacje reprezentowały wartości chrześcijańskie.
Ad 3 Mogą to być np. zabawki, słodycze itp.
Ad 5 Przy przekazywaniu rzeczy biedniejszym rozsądniejsze będzie oddawanie ubrań do koszy, puszek itp., a nie bezpośrednio komuś uboższemu, by nie
podkreślać tym samym różnic materialnych między dziećmi. "
9;czerwony;Promyczek;Promyczek to zuch, który potrafi promieniować radością nawet w trudnych sytuacjach. ;"1. Jest pogodny i koleżeński, nie złości się i nie gniewa.
2. Potrafi stawić czoła trudnej sytuacji. 
3. Umie pocieszyć innych swoim zachowaniem, mimiką lub wykonaną przez siebie prostą majsterką.
4. Opowiada, rysuje zabawne historie. 
5. Zachowuje się adekwatnie do sytuacji";"Ad 2 Nie narzeka, nie płacze, uczy się dzielności.
Ad 4 Zuch może np. ułożyć wierszyk, scenkę, wesołą piosenkę, itd.
Ad 5 Adekwatne zachowanie rozumiane jest jako odpowiednie do sytuacji (nie śmieje się, gdy ktoś płacze itd.). "
10;czerwony;Rycerz;Rycerz to zuch, który zna zasady dobrego wychowania. Jest uczciwy i opiekuńczy. ;"1. Jak prawdziwy rycerz traktuje każdego z szacunkiem (w szczególności potrafi odpowiednio zachować się wobec damy).
2. Opiekuje się młodszymi i słabszymi- stanie w ich obronie.
3. Zna i przestrzega zasad savoir - vivre- dba o schludny wygląd.
4. Podjął trudne wyzwanie - wbrew swoim lękom i obawom.
5. W dowolnej formie przedstawił historię wybranego rycerza, który mógłby być dla niego wzorem. ";"W sprawności należy zwrócić szczególną uwagę na relacje: chłopcy - dziewczynki oraz na odpowiedni do wieku wizerunek dziewczynki- zuchenki. Trzeba ponadto pamiętać, że dama rozumiana jest tu nie jako postać historyczna, ale jako osoba posiadająca zespół szlachetnych cech.
Ad 3 Poprzez zdobywanie tej sprawności należy dzieciom zwrócić uwagę na uczciwe postępowanie w codziennym życiu np. grę fair play, nie przechodzenie
przez ulicę na czerwonym świetle, nie ściąganie na sprawdzianach w szkole, kasowanie biletów w autobusie.
Ad 4 W ramach konkretnych zadań zuch powinien walczyć z jakąś słabością lub kształcić jakiś dobry nawyk. Warto też zdawać sobie sprawę z tego, że prawidłowy przykład własny drużynowego/drużynowej stanowi, jak zawsze, istotny czynnik w pozytywnym zrealizowaniu tej sprawności. "
